Source,Source Port,Destination,Destination Port,Interface id,Protocol,Epoch Arrival Time,Time shift for this packet,Time delta from previous captured frame,Time delta from previous displayed frame,Time since reference or first frame,Frame Number,Frame length on the wire,Frame length stored into the capture file,Total Length,Time to Live,Time data,Frame is marked,Version,Header Length,Reserved bit,Don't fragment,More fragments,Hardware Size,Protocol Size,Label
192.168.0.111,55907,224.0.0.251,5353,0,MDNS,1739168019,0,0,0,0,1,92,92,78,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,53870,224.0.0.251,5353,0,MDNS,1739168019,0,0.005428932,0.005428932,0.005428932,2,88,88,74,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,0.002716317,0.002716317,0.008145249,3,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,57714,224.0.0.251,5353,0,MDNS,1739168019,0,0.001986261,0.001986261,0.01013151,4,87,87,73,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,0.001167524,0.001167524,0.011299034,5,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,0.000139778,0.000139778,0.011438812,6,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,56093,224.0.0.251,5353,0,MDNS,1739168019,0,0.003877228,0.003877228,0.01531604,7,88,88,74,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,60118,224.0.0.251,5353,0,MDNS,1739168019,0,0.006664103,0.006664103,0.021980143,8,71,71,57,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,43486,224.0.0.251,5353,0,MDNS,1739168019,0,0.005548046,0.005548046,0.027528189,9,81,81,67,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,58679,224.0.0.251,5353,0,MDNS,1739168019,0,0.005906426,0.005906426,0.033434615,10,85,85,71,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,0.006569353,0.006569353,0.040003968,11,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,44293,224.0.0.251,5353,0,MDNS,1739168019,0,0.000648084,0.000648084,0.040652052,12,85,85,71,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,0.002879459,0.002879459,0.043531511,13,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,3.03E-05,3.03E-05,0.043561819,14,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,41411,224.0.0.251,5353,0,MDNS,1739168019,0,0.002006118,0.002006118,0.045567937,15,82,82,68,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,33491,224.0.0.251,5353,0,MDNS,1739168019,0,0.005841758,0.005841758,0.051409695,16,89,89,75,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,45771,224.0.0.251,5353,0,MDNS,1739168019,0,0.00627611,0.00627611,0.057685805,17,92,92,78,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,60181,224.0.0.251,5353,0,MDNS,1739168019,0,0.005409709,0.005409709,0.063095514,18,88,88,74,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,51871,224.0.0.251,5353,0,MDNS,1739168019,0,0.004504625,0.004504625,0.067600139,19,87,87,73,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,0.003813387,0.003813387,0.071413526,20,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,4.13E-05,4.13E-05,0.071454793,21,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,2.05E-05,2.05E-05,0.071475273,22,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,53507,224.0.0.251,5353,0,MDNS,1739168019,0,0.000330902,0.000330902,0.071806175,23,88,88,74,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,49014,224.0.0.251,5353,0,MDNS,1739168019,0,0.003835866,0.003835866,0.075642041,24,71,71,57,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,46377,224.0.0.251,5353,0,MDNS,1739168019,0,0.004985425,0.004985425,0.080627466,25,81,81,67,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
Intel_54:87:d3,0,TpLinkPte_41:24:87,0,0,ARP,1739168019,0,0.00245741,0.00245741,0.083084876,26,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,41579,224.0.0.251,5353,0,MDNS,1739168019,0,0.003019943,0.003019943,0.086104819,27,85,85,71,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,33666,224.0.0.251,5353,0,MDNS,1739168019,0,0.00715389,0.00715389,0.093258709,28,85,85,71,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,35216,224.0.0.251,5353,0,MDNS,1739168019,0,0.006207234,0.006207234,0.099465943,29,82,82,68,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,59934,224.0.0.251,5353,0,MDNS,1739168019,0,0.007389394,0.007389394,0.106855337,30,89,89,75,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,0.000577786,0.000577786,0.107433123,31,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,2.76E-05,2.76E-05,0.107460689,32,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
TpLinkPte_41:24:87,0,Broadcast,0,0,ARP,1739168019,0,1.68E-05,1.68E-05,0.107477498,33,42,42,0,0,11:43:39,0,0,0,0,0,0,6,4,anomaly
192.168.0.111,49966,224.0.0.251,5353,0,MDNS,1739168019,0,0.004389744,0.004389744,0.111867242,34,92,92,78,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,38739,224.0.0.251,5353,0,MDNS,1739168019,0,0.004538038,0.004538038,0.11640528,35,88,88,74,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,45835,224.0.0.251,5353,0,MDNS,1739168019,0,0.004687144,0.004687144,0.121092424,36,87,87,73,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,56027,224.0.0.251,5353,0,MDNS,1739168020,0,0.003904107,0.003904107,0.124996531,37,88,88,74,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
192.168.0.111,32996,224.0.0.251,5353,0,MDNS,1739168020,0,0.004677407,0.004677407,0.129673938,38,71,71,57,1,11:43:39,0,4,20,0,1,0,0,0,anomaly
